[3259] Genel Hata: invalid color argument
[2357] Genel Hata: 'NoneType' object is not subscriptable
[2413] Genel Hata: 'NoneType' object is not subscriptable
[23677] Genel Hata: invalid color argument
[24260] Genel Hata: invalid color argument
[23081] Genel Hata: invalid color argument
[20294] Genel Hata: Oyun sıfırlanırken hata: Cannot choose from an empty sequence
[17604] Genel Hata: 'username'
[23502] Genel Hata: Oyun sıfırlanırken hata: Cannot choose from an empty sequence
[18521] Genel Hata: 'username'
[137153] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[137322] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[137507] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[137642] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[137845] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[138011] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[138164] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[142091] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[142440] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[142759] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[143125] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[143494] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[143741] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[143942] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[144123] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[144325] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[148464] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[148632] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[148933] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[149119] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[149485] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[149635] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[149834] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[150002] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[150168] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[150319] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[150487] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[150655] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[150804] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[151007] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[151191] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[151344] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[151522] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[151674] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[151857] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[152025] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[152211] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[152378] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
